Month,Predicted_Revenue,Lower_Bound,Upper_Bound
2023-01-01,592107.59,538149.5043297689,646373.9434615271
2023-02-01,589311.42,533727.9602610054,639654.7631658748
2023-03-01,586785.84,529617.6284617546,636747.7015254137
2023-04-01,583989.67,531721.587450802,635646.5937331261
2023-05-01,581283.69,528492.1504973093,632176.5761274033
2023-06-01,578487.52,525471.6945010208,627133.5009489014
2023-07-01,575781.54,525660.7017106597,628202.4383767624
2023-08-01,572985.37,518948.1402464438,626220.3398921131
2023-09-01,570189.2,517745.526315064,621984.9420892264
2023-10-01,567483.22,514948.8303016116,620294.0605767921
2023-11-01,564687.05,511945.13219870295,614866.9068679538
2023-12-01,561981.08,506983.927036428,613855.6880101837
2024-01-01,559184.9,506568.45800571796,608319.8305940563
2024-02-01,556388.73,505969.96452988393,606898.3215805889
2024-03-01,553772.95,499224.0584463613,606760.3194009429
2024-04-01,550976.78,498578.51467979094,601217.5990750783
2024-05-01,548270.8,494307.5612281853,600862.0016928363
2024-06-01,545474.63,492795.6069614443,594892.6529976081
2024-07-01,542768.66,492247.38938322786,594695.7567250098
2024-08-01,539972.48,486006.25565725146,590907.6173102217
2024-09-01,537176.31,486290.4793086091,592221.694896568
2024-10-01,534470.34,479834.4040103481,585541.685509821
2024-11-01,531674.16,477038.2252906366,585833.0511809144
2024-12-01,528968.19,475193.304887267,581765.0768707283
